axis,metric,episode_id,seed,step_0,step_1,step_2,step_3,step_4,step_5,final_cart_err,success_5cm,success_10cm,latent_dist_0,latent_dist_1,latent_dist_2,latent_dist_3,latent_dist_4,latent_dist_5
x,l1,0,,0.2299687030636974,0.19841262305883436,0.21351604208137942,0.19438021127493926,0.1807077930554445,0.16583060639756123,0.16583060639756123,False,False,0.5662544965744019,0.5313680171966553,0.4817903935909271,0.4531148672103882,0.4648175835609436,0.44929051399230957
x,l1,1,,0.2299687030636974,0.198450048015186,0.21363208839603676,0.1931240848089077,0.17617673124937408,0.16506562973549935,0.16506562973549935,False,False,0.5662580728530884,0.5320230722427368,0.4869351387023926,0.45071905851364136,0.4576718211174011,0.45766475796699524
x,l1,2,,0.2299687030636974,0.19859598731245162,0.21526942085844045,0.1938834006177677,0.15812561489535618,0.1507083386057245,0.1507083386057245,False,False,0.566375732421875,0.5331390500068665,0.48982465267181396,0.4712692201137543,0.4469097852706909,0.4413911700248718
x,l1,3,,0.2299687030636974,0.19859352485796936,0.21472720607309242,0.19940479391907284,0.1682410622483176,0.162374810451138,0.162374810451138,False,False,0.5664583444595337,0.5325637459754944,0.492502361536026,0.46492907404899597,0.45367759466171265,0.44481590390205383
x,l1,4,,0.2299687030636974,0.19846467003531623,0.21233614279410368,0.20001460071099322,0.17133209114532535,0.1582765704971159,0.1582765704971159,False,False,0.5663439035415649,0.5320411920547485,0.4848436713218689,0.4626789093017578,0.45087915658950806,0.45540881156921387
x,l1,5,,0.2299687030636974,0.19843212848944028,0.21393582095877237,0.19098148985997218,0.16781575346525412,0.16319857245692979,0.16319857245692979,False,False,0.5662661194801331,0.5311803817749023,0.48133182525634766,0.45344653725624084,0.4568813741207123,0.44316259026527405
x,l1,6,,0.2299687030636974,0.19837620817630547,0.21396634254104152,0.19062952598582003,0.1642099116440471,0.15955047563253855,0.15955047563253855,False,False,0.5663086175918579,0.53324294090271,0.48330411314964294,0.4529847800731659,0.44599977135658264,0.44716575741767883
x,l1,7,,0.2299687030636974,0.19842261751548154,0.21388218504806453,0.1927638607967409,0.16861847658362708,0.16324837124464656,0.16324837124464656,False,False,0.5662892460823059,0.5307796001434326,0.4828735291957855,0.45729145407676697,0.45800384879112244,0.45133358240127563
x,l1,8,,0.2299687030636974,0.19854331811915474,0.21400663708070292,0.19295572250606255,0.1672159088128427,0.1630440155855932,0.1630440155855932,False,False,0.5662217140197754,0.532372772693634,0.48379263281822205,0.44754740595817566,0.454047292470932,0.4497130215167999
x,l1,9,,0.2299687030636974,0.19832586308958913,0.2137406304448825,0.19263602823560588,0.1766628785245867,0.1642795400381351,0.1642795400381351,False,False,0.5663238763809204,0.5320906043052673,0.4861465096473694,0.45315778255462646,0.45758533477783203,0.45958468317985535
y,l1,0,,0.20431216009748618,0.18756159152877133,0.1582400243361679,0.12134636954185554,0.0992725889138293,0.09287638357074389,0.09287638357074389,False,True,0.5216614007949829,0.565784752368927,0.5678777098655701,0.5417675971984863,0.5158066153526306,0.5090850591659546
y,l1,1,,0.20431216009748618,0.18733712960596358,0.11933964751310432,0.11113566561282287,0.09445129089510419,0.09420710687357779,0.09420710687357779,False,True,0.5215624570846558,0.5657051205635071,0.5366515517234802,0.5407615303993225,0.518768310546875,0.5189253687858582
y,l1,2,,0.20431216009748618,0.1870957115844929,0.11027148673877786,0.11074194611757877,0.10044433509957311,0.09062476402521064,0.09062476402521064,False,True,0.5214667320251465,0.570525586605072,0.5238698720932007,0.5409896969795227,0.5310865640640259,0.5155952572822571
y,l1,3,,0.20431216009748618,0.18771774283649484,0.11247542802525602,0.10996587529356948,0.09717521223721749,0.09291565321481561,0.09291565321481561,False,True,0.5214856863021851,0.5662470459938049,0.5303138494491577,0.5344536900520325,0.5157887935638428,0.5146218538284302
y,l1,4,,0.20431216009748618,0.18740590822914108,0.11173696270453123,0.11166439854341026,0.09555311304422796,0.0903449485026246,0.0903449485026246,False,True,0.5213125348091125,0.5686335563659668,0.5261521339416504,0.5397897362709045,0.5112444758415222,0.513459324836731
y,l1,5,,0.20431216009748618,0.18738675073864805,0.12016175686117667,0.11203190407464281,0.09522200094002047,0.0929919614608234,0.0929919614608234,False,True,0.5215197801589966,0.5688968300819397,0.5313100218772888,0.5421542525291443,0.5141464471817017,0.5199156403541565
y,l1,6,,0.20431216009748618,0.18746785574598998,0.11154589552025203,0.1116317134302452,0.09986536456033263,0.09278404069283748,0.09278404069283748,False,True,0.5216128826141357,0.5677979588508606,0.5271135568618774,0.5354923009872437,0.5264018177986145,0.5072778463363647
y,l1,7,,0.20431216009748618,0.1875749168253088,0.10921332435048753,0.10882089281004155,0.09755760488784652,0.09372325148882803,0.09372325148882803,False,True,0.5215258598327637,0.5679776668548584,0.5241414308547974,0.5351256728172302,0.5181552171707153,0.5169306993484497
y,l1,8,,0.20431216009748618,0.187592448528308,0.1356493109071769,0.11641701905483698,0.09223460061512051,0.08936046592979056,0.08936046592979056,False,True,0.5214921236038208,0.5644164681434631,0.5436071753501892,0.5437565445899963,0.506594181060791,0.5044510960578918
y,l1,9,,0.20431216009748618,0.18773606105913881,0.15879257454552956,0.12485530086780101,0.09313214598968106,0.0903198927417616,0.0903198927417616,False,True,0.5214061141014099,0.5667683482170105,0.5696738958358765,0.5528745651245117,0.5005556344985962,0.5073031187057495
z,l1,0,,0.22899341523494027,0.19149693825649283,0.1687684970355054,0.13938964594850026,0.10383184198182922,0.1349487089084462,0.1349487089084462,False,False,0.48053178191185,0.4386739134788513,0.40963616967201233,0.3948873281478882,0.3756272792816162,0.42277616262435913
