target_pos,target_distance,initial_distance,start_ee_pos,final_ee_pos,absolute_error,relative_error,max_distance_during_trajectory,min_distance_during_trajectory,ik_err_norm,ik_steps,ik_success,joint_displacement,num_trajectory_steps,radius,sample_idx
"[-0.005238915136031096, 0.359990460210612, 1.036173027977649]",0.049999999999999996,0.049999999999999996,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.003159001155471519, 0.33342823795881776, 1.005670060955367]",0.040500724564909524,0.8100144912981906,0.08579545758697536,0.040499752339990536,1.83765603177136e-05,2,True,0.1132769137169536,1751,0.05,0
"[0.004489367475035433, 0.2959363658409538, 1.000967445756361]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.006147594983066654, 0.2693640433983612, 0.9777590321146481]",0.035319520130182296,0.7063904026036458,0.04999060500925372,0.029634205189357696,1.4009539804805904e-05,2,True,0.22738245668301604,1751,0.05,1
"[0.030225811369462122, 0.37478053901099756, 0.9567010493702778]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.028762715923263335, 0.3435486174594935, 0.927057887438076]",0.04308469126525947,0.8616938253051896,0.062155713465111444,0.042094333518652556,3.4869160626331844e-05,2,True,0.23422219615718468,1751,0.05,2
"[0.04182716224832718, 0.35679120258158975, 1.027719211914151]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04029931153142037, 0.32976276803910515, 0.997572647012019]",0.04051772423309313,0.8103544846618634,0.08163800690369889,0.040516576873491306,1.9396197439868368e-05,2,True,0.10775117942900497,1751,0.05,3
"[-0.026570661316856065, 0.3176593551145391, 1.011908855116262]",0.050000000000000024,0.050000000000000024,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.022394433928663304, 0.29114642419380843, 0.986363083271874]",0.03705351319822256,0.7410702639644509,0.060472669949785736,0.03705012475244302,4.500292986358608e-05,2,True,0.1957506473751817,1751,0.05,4
"[0.026963954073917204, 0.34684335309344794, 1.0380925825528569]",0.04999999999999995,0.04999999999999995,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.026747442507287087, 0.32065029412180596, 1.0086961233847922]",0.039373532063685775,0.7874706412737164,0.08170761275422794,0.03937142683835554,6.113158095917936e-06,2,True,0.15670492573918635,1751,0.05,5
"[0.030272752539146616, 0.30910882218101926, 0.9623355084044851]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.028965782366050297, 0.28038218259309605, 0.9395559064118073]",0.0366856683187401,0.733713366374802,0.04997061774374035,0.015391995959132772,2.4443185670093317e-05,2,True,0.08368377308547133,1751,0.05,6
"[0.026098070033916485, 0.37984323141846793, 0.9594420483220009]",0.05000000000000001,0.05000000000000001,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.02495746528423245, 0.34857074070316363, 0.9291429479494184]",0.04355806628078915,0.8711613256157827,0.06560146623922831,0.0430908959307675,3.2723824767020506e-05,2,True,0.2392260898856708,1751,0.05,7
"[-0.006669122479031828, 0.39170633337981237, 0.9935772404998813]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.005236058662292051, 0.36189068247007167, 0.9609478167939636]",0.04422336489294629,0.884467297858926,0.08283221264821153,0.04422336489294629,1.2086262453909411e-05,2,True,0.17243863838373905,1751,0.05,8
"[-0.03131913482368228, 0.363480550486061, 0.9702245113564617]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.02796251930291685, 0.33341621177763014, 0.9415577589627263]",0.04167630049000547,0.8335260098001096,0.06344365222386304,0.041493456463514024,3.664511643682029e-05,2,True,0.16793297046345315,1751,0.05,9
"[-0.016413278445373013, 0.32224643864665964, 0.9550509834018617]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.013894914306969366, 0.29287483701767675, 0.9314078707762262]",0.03778928306826885,0.755785661365377,0.049971406071602116,0.0228590978880531,2.489457251489683e-05,2,True,0.10203339785961664,1751,0.05,10
"[-0.0025867707317829246, 0.3911415962456568, 0.9777377816660267]",0.04999999999999998,0.04999999999999998,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.0015641758196591445, 0.3604723029635484, 0.9456454340659156]",0.044402365086385155,0.8880473017277034,0.07724945556759216,0.044402365086385155,1.7755733597317735e-05,2,True,0.21496846972958678,1751,0.05,11
"[-0.029492321879698143, 0.35583275535200964, 1.0196191934759589]",0.05000000000000001,0.05000000000000001,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.025699338989797586, 0.32859685380938414, 0.9900840393353979]",0.04035475662359227,0.8070951324718452,0.07910097506475271,0.04035436222042233,1.9280756142352608e-05,2,True,0.10735517270702252,1751,0.05,12
"[0.025565084912174366, 0.3921417834088317, 0.9925250411780187]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.02474458480068937, 0.362222004392, 0.959752670640683]",0.044383495440145485,0.8876699088029094,0.0824032127401562,0.044383495440145485,9.87460925434431e-06,2,True,0.1789387506581558,1751,0.05,13
"[-0.007573373123997997, 0.33309478111402663, 0.9457466386086573]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.006004439279770223, 0.30291173568069213, 0.921317921227766]",0.03886180667331045,0.7772361334662091,0.04996898464242434,0.02427055203429635,1.343936874814493e-05,2,True,0.14675596818677925,1751,0.05,14
"[-0.01932168111674345, 0.3211168035769328, 0.9581540097053867]",0.04999999999999998,0.04999999999999998,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.016505971516601686, 0.29192923654455727, 0.9345001698595101]",0.037674214381671206,0.7534842876334243,0.04997300918615687,0.024236560119359537,2.718951273010346e-05,2,True,0.09771819447205368,1751,0.05,15
"[0.03023208375543172, 0.3533929747260405, 1.0359901510619909]",0.05000000000000007,0.05000000000000007,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.029699069517761256, 0.32690770001840663, 1.006000215135865]",0.04001437413442237,0.8002874826884462,0.08326077475441002,0.04001275744242293,1.3277568807198493e-05,2,True,0.1304423702633477,1751,0.05,16
"[0.04846527085390164, 0.33620729224167684, 1.0219413321483035]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04638671008830276, 0.3094396989860682, 0.9939700642181212]",0.03877133339435257,0.7754266678870521,0.07189822198144726,0.03876854973321581,1.475488841357373e-05,2,True,0.15511071891328201,1751,0.05,17
"[3.4775397815938955e-05, 0.3725963123975472, 0.9508688087372958]",0.05000000000000004,0.05000000000000004,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.000778116413169651, 0.34117664069504694, 0.9218177183513173]",0.042798530095930834,0.8559706019186161,0.058832556418895086,0.04082124455205564,3.0482403767390366e-05,2,True,0.24142459799351984,1751,0.05,18
"[-0.009910847688089988, 0.2991776912715781, 0.9851168467106176]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.007208410815856048, 0.27185104697385476, 0.9623996426961967]",0.03563874312957076,0.7127748625914153,0.049982274369951334,0.02502672818924289,1.709560941260261e-05,2,True,0.16479661120694583,1751,0.05,19
"[0.0460285442533838, 0.37932969062364297, 0.9906192883477845]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.043746040775011485, 0.3496790942368024, 0.9592206937890764]",0.04324626490792284,0.8649252981584565,0.07704202531504972,0.04324626490792284,3.660807676928861e-05,2,True,0.15781720881709993,1751,0.05,20
"[0.03807069745300802, 0.35079632120193144, 1.0320336375445356]",0.04999999999999992,0.04999999999999992,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.0369019973926409, 0.3241615573905816, 1.0023749408615834]",0.039880004915356405,0.7976000983071294,0.08099795115032127,0.039878293849212154,1.132565739320268e-05,2,True,0.1310593573288944,1751,0.05,21
"[0.007415891632227301, 0.39185298982198546, 1.0073538257720558]",0.050000000000000024,0.050000000000000024,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.007991515741996812, 0.36278245152123806, 0.9742670937887632]",0.044047240248910116,0.8809448049782019,0.08716795771836497,0.044047240248910116,1.5051671334546635e-06,2,True,0.13543307982637437,1751,0.05,22
